gene,log2FC,padj
E01515,-0.3753 ,0.0000 
E01516,2.2925 ,0.0000 
E01517,-0.9364 ,0.0000 
E01518,-0.7048 ,0.0000 
E01519,1.9964 ,0.0000 
E01520,3.5358 ,0.0000 
E01524,0.4611 ,0.0000 
E01525,-0.5765 ,0.0000 
E01527,0.1063 ,0.5512 
E01528,3.8324 ,0.0000 
E01531,0.8679 ,0.0000 
E01544,0.4750 ,0.9610 
E01547,0.3655 ,0.0000 
E01548,0.0410 ,0.2437 
E01551,-0.2869 ,0.0000 
E01554,0.4860 ,0.0941 
E01555,-0.3962 ,0.0000 
E01557,2.7168 ,0.0000 
E01559,0.5820 ,0.0000 
E01573,0.6778 ,0.0000 
E01575,6.4193 ,0.0000 
E01580,-1.2965 ,0.4027 
E01582,0.0810 ,0.6423 
E01584,2.1435 ,0.0002 
E01585,0.5058 ,0.0000 
E01592,-0.1671 ,0.0000 
E01593,0.0061 ,0.9881 
E01596,-1.3088 ,0.0000 
E01597,0.6844 ,0.0000 
E01598,-0.5641 ,0.0000 
E01599,0.6206 ,0.0000 
E01602,-0.3476 ,0.0000 
E01603,0.5659 ,0.0001 
E01607,-1.5778 ,0.0000 
E01608,0.7617 ,0.0000 
E01609,-0.2528 ,0.0353 
E01611,0.0775 ,0.0288 
E01613,-0.3156 ,0.0000 
E01616,0.8806 ,0.0000 
E01618,-0.2370 ,0.7981 
E01620,0.2287 ,0.0283 
E01621,0.3701 ,0.0232 
E01622,1.9305 ,0.0073 
E01623,-0.2758 ,0.0002 
E01627,-0.5419 ,0.0818 
E01628,1.5199 ,0.0000 
E01629,-0.0330 ,0.6671 
E01632,-0.5926 ,0.0000 
E01633,0.2376 ,0.0000 
E01640,-0.2538 ,0.0205 
E01642,0.2963 ,0.0000 
E01643,-0.1565 ,0.0760 
E01644,1.1236 ,0.5888 
E01645,1.5527 ,0.0000 
E01647,-0.6803 ,0.0000 
E01653,-0.2622 ,0.0105 
E01654,0.2509 ,0.0052 
E01656,0.4750 ,0.9610 
E01657,0.1327 ,0.0058 
E01658,5.0233 ,0.0000 
E01662,-0.3461 ,0.0000 
E01679,0.4781 ,0.9610 
E01680,-0.1695 ,0.1662 
E01681,-0.0340 ,0.6079 
E01682,0.7340 ,0.0000 
E01684,0.0942 ,1.0000 
E01686,-1.0872 ,0.0000 
E01687,-0.6232 ,0.0000 
E01689,0.1660 ,0.0905 
E01691,-2.2502 ,0.0054 
E01692,0.8106 ,0.0000 
E01699,-0.8101 ,0.0000 
E01700,-0.2902 ,0.0052 
E01701,-1.2462 ,0.0000 
E01704,-0.9730 ,0.0000 
E01706,1.7815 ,0.0000 
E01707,1.5554 ,0.0000 
E01708,-0.5098 ,0.0000 
E01709,0.5131 ,0.0000 
E01710,-0.0918 ,0.0992 
E01711,-2.8545 ,0.0000 
E01712,-0.8215 ,0.0000 
E01713,-0.2481 ,0.0190 
E01714,-3.1065 ,0.0000 
E01715,-1.1661 ,0.0000 
E01717,-0.1447 ,0.0092 
E01719,-0.6558 ,0.0000 
E01720,-1.4458 ,0.0000 
E01724,-0.9423 ,0.0007 
